City,Organization Name,Payment Amount,Grant Type,Grant Sector,Grant Subsector
Quesnel,Quesnel Agricultural and Exhibition Association,5500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Quesnel,Quesnel and District Heritage Association,3500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Quesnel,Quesnel Live Arts Society,11500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Quesnel,Quesnel Tillicum Society,8300,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Quesnel,Waveriders Swim Club,19000,Community Gaming Grant,Sport,Sports for Youth
Revelstoke,BC Interior Forestry Museum Society,16500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Revelstoke,Revelstoke Arts Council,20000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Revelstoke,Revelstoke Heritage Railway Society,2000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Revelstoke,Revelstoke Theatre Company Society,9500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Revelstoke,Revelstoke Visual Arts Society,20500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Richmond,BC Youth Music Society,31500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Richmond,Canadian YC Chinese Orchestra Association,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Richmond,Richmond Cares Richmond Gives Society,31200,Community Gaming Grant,Human and Social Services,Community Education
Richmond,Richmond Community Orchestra and Chorus Association,26000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Richmond,Richmond Gateway Theatre Society,84000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Richmond,Richmond Music School Society,45000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Richmond,Richmond Singers,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Richmond,Richmond Swim Club,37000,Community Gaming Grant,Sport,Sports for Youth
Richmond,The 2947 39 (Vancouver) Service Battalion Royal Canadian Army Cadet Corps Sponsoring Committee,7300,Community Gaming Grant,Human and Social Services,Enhancement of Youth
Richmond,Vancouver Orpheus Male Voice Choir,25000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Roberts Creek,Coast Rogue Arts Society,5500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Rock Creek,Rock Creek and Boundary Fair Association,33500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Rolla,Peace - Liard Regional Arts Council,3900,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Saanichton,Central Saanich Little League,17250,Community Gaming Grant,Sport,Sports for Youth
Saanichton,Peninsula Lacrosse Association,17000,Community Gaming Grant,Sport,Sports for Youth
Saanichton,Saanich Peninsula Piranhas Summer Swim Club,26600,Community Gaming Grant,Sport,Sports for Youth
Salmo,Salmo Valley Swimming Pool Society,8000,Community Gaming Grant,Sport,Sports for Youth
Salmon Arm,Salmon Arm Folk Music Society,40000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Salmon Arm,Salmon Arm Museum and Heritage Association,34500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Salmon Arm,Shuswap Association of  Writers,4000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Salmon Arm,Shuswap District Arts Council,27200,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Salmon Arm,The Salmon Arm and Shuswap Lake Agricultural Association,17250,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Salt Spring,Viva Chorale! Society - Salt Spring Island,12400,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Salt Spring Island,Bandemonium Music Society,6500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Salt Spring Island,Graffiti Theatre Company Society,21000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Salt Spring Island,Saltspring Gymnastics Association,6700,Community Gaming Grant,Sport,Sports for Youth
Salt Spring Island,Stagecoach School for the Performing Arts Society,10000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Sechelt,Coasting Along Theatre Society,11000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Sidney,78th Fraser Highlanders - Fort Victoria Historical Society,8800,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Sidney,Peninsula Baseball & Softball Association,21500,Community Gaming Grant,Sport,Sports for Youth
Sidney,Sidney Concert Society,6000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Sidney,Sidney Lawn Bowling Club,8900,Community Gaming Grant,Sport,Sports - Adult
Skidegate,Haida Gwaii Museum Society,25000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Smithers,Bulkley Valley Agricultural and Industrial Association,35000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Smithers,Bulkley Valley Concert Association,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Smithers,Bulkley Valley Folk  Music Society,22000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Smithers,Smithers Ski Club,22225,Community Gaming Grant,Sport,Sports for Youth
Sooke,Sooke Community Choir Society,4500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Squamish,West Coast Railway Association,37000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Summerland,Apex Ski Club,17700,Community Gaming Grant,Sport,Sports for Youth
Summerland,Kiwanis Club of Summerland,3750,Community Gaming Grant,Human and Social Services,Community Service Organization
Summerland,Penticton Scottish Festival Society,5000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Summerland,Ryga Festival Society,3000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Summerland,South Okanagan Sailing Association,6000,Community Gaming Grant,Sport,Sports for Youth
Summerland,Summerland Action Festival Association,10000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Summerland,Summerland Community Arts Council,22500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Summerland,Summerland Museum & Heritage Society,15000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Surrey,African Stages Association,15000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,AllStar Youth Sport Society,13500,Community Gaming Grant,Sport,Sports for Youth
Surrey,Arts Council of Surrey,20000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,"BC Junior ""A"" Lacrosse League Association",56000,Community Gaming Grant,Sport,Sports for Youth
Surrey,Cedar Hills Caledonian Pipe Band,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Surrey,Cloverdale Curling Club,46230,Community Gaming Grant,Sport,Sports - Adult
Surrey,Global Peace Alliance  Surrey Society,13000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,Handel Society of Music,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Surrey,Lower Fraser Valley Exhibition Association,55000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Surrey,Lyric Choirs of Surrey Society,6550,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Surrey,Newton Canadian Baseball Association,15000,Community Gaming Grant,Sport,Sports for Youth
Surrey,Nicomekl Rowing Club,11625,Community Gaming Grant,Sport,Sports - Adult
Surrey,North Surrey Minor Football Club,44000,Community Gaming Grant,Sport,Sports for Youth
Surrey,Pacificaires Performing Arts Society,45000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,Peace Arch Chorus Sweet Adelines,6000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Surrey,Scouts Canada - 11th Central Surrey,4200,Community Gaming Grant,Human and Social Services,Enhancement of Youth
Surrey,Seaside Volleyball Club,20480,Community Gaming Grant,Sport,Sports for Youth
Surrey,Simon Fraser University Pipe Band Society,35500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Surrey,Surrey Canadian Baseball Association,18000,Community Gaming Grant,Sport,Sports - Adult
Surrey,Surrey Festival of Dance Society,30000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,Surrey Japanese School Society,2000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,Surrey Minor Hockey Association,100000,Community Gaming Grant,Sport,Sports for Youth
Surrey,Surrey Symphony Society,25850,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,Teatr Polski - Polish Theatre Canadian-Polish Arts Society,35000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Surrey,Vancouver Cantonese Opera,31000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Terrace,Terrace Art Association,28500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Terrace,Terrace Community Band,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Terrace,Terrace Pipes and Drums Society,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Trail,Greater Trail Swim Racing Society,15400,Community Gaming Grant,Sport,Sports for Youth
Trail,Special Olympics BC Society - Trail Local,10000,Community Gaming Grant,Sport,Sports for Disabled Persons
Trail,The Greater Trail Creative Activities Centre Society for the Visual Arts,3850,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Trail,Trail and District Community Arts Council,4000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Trail,Trail Gymnastics Society,14200,Community Gaming Grant,Sport,Sports for Youth
Ucluelet,Pacific Rim Arts Society,21300,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,African Descent Society British Columbia,25000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,All Bodies Dance Society,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Alley Theatre Association,8000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Art Starts in Schools Society,37000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Arts Club of Vancouver Theatre Society,60000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Arts Umbrella Association,225000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Association of United Ukrainian Canadians,2500,Multiculturalism Grant,Cultural Expression,Cultural Expression
Vancouver,Awkward Stage Productions Society,7400,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Axis Theatre Society,52500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,B.C. Chinese Music Association,14000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Bard on the Beach Theatre Society,52000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Barking Sphinx Performance Society,10350,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Battery Opera Performing Arts Society,27500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Battle Of Britain Memorial Fund,1000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,British Columbia Choral Federation,47400,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Carousel Theatre Society,60500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Centre culturel francophone de Vancouver,81000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Chor Leoni Men's Choir,25000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Compaigni V'ni Dansi Society,14000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Conseil jeunesse francophone de la Colombie-Britannique,18000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Eastside Culture Crawl Society,10000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,EDAM Performing Arts Society,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Friends of the Vancouver City Archives,7500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Fugue Theatre Society,16000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Geist Foundation,48500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Greater Vancouver International Film Festival Society,100000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Greater Vancouver Vivaldi Chamber Choir Society,11000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Green Thumb Players Society,46800,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Hardline Productions Society,8000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Health Arts Society,15000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Indian Summer Arts Society,55000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Joe Ink Performance Society,25000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Karen Jamieson Dance Society,15000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Katari Taiko Drum Group Association,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Lions Gate Chorus - Sweet Adelines International,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Lions Gate Sinfonia Society,12500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Malaspina Printmakers Society,29200,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Mandala Arts and Culture Society,11200,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Metro Seniors Band Society,4500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Mortal Coil Performance Society,35000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Movement Enterprises Society,22800,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Or Gallery Society,31500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Phoenix Vocal and Performing Society,16325,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Pink Ink Theatre Productions Association,44000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Powell Street Festival Society,20500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Pride in Art Society,31000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Radix Theatre Society,25000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Rice and Beans Theatre Society,8000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Roedde House Preservation Society,29000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Rumble Productions Society,44000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Still Moon Arts Society,8500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,The Only Animal Theatre Society,20000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,The Plastic Orchid Factory Society,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,The Rainbow Band Society,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,The Response Dance Society,3500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,The Valerie  Ruth & Pamela Dudoward Foundation,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,The Vancouver Cantata Society,50000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,The Vancouver Children's Choir Choral Society,5000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,The Vancouver Chopin Society,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Tomoe Arts Society,9000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Twenty-Something Theatre Society,9000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,United Scottish Cultural Society,15500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Universal Gospel Choir,15000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Up in the Air Theatre Society,26400,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Urban Ink Production Society,16000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Uzume Taiko Drum Group Society,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Academy of Music,55700,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Vancouver Choral Arts Society,20000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Vancouver City Singers Society,6000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Folk Music Festival Society,77250,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Vancouver Fringe Theatre Society,78000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Vancouver International Bhangra Celebration Society,100000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver International Children's Festival Society,100000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Vancouver International Halloween Festival Society,15500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Vancouver International Sculpture Biennale,250000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver International Writers Festival Society,38500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Vancouver Killarney Minor Lacrosse Association,23000,Community Gaming Grant,Sport,Sports for Youth
Vancouver,Vancouver Latin American Cultural Centre Society,12500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Latin American Film Festival Society,21000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Vancouver Moving Theatre Society,48000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vancouver,Vancouver New Music Society,50000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Opera Association,35000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Opera Guild,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Out On Screen Film and Video Society,36000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Pacific Swim Club,83000,Community Gaming Grant,Sport,Sports for Youth
Vancouver,Vancouver Recital Society,22500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver Society for Early Music,70000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Vancouver South East Chinese School Society,24000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Vancouver Tap Dance Society,25000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,Vancouver Thunder Volleyball Club,16000,Community Gaming Grant,Sport,Sports for Youth
Vancouver,Vancouver Vikings Swim Club,29800,Community Gaming Grant,Sport,Sports for Youth
Vancouver,Vetta Chamber Music Society,11000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Voci Crescendi Society,10000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,VSO School of Music Society,15000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Vancouver,WC Race Series,6000,Community Gaming Grant,Sport,Sports for Disabled Persons
Vancouver,Wen Wei Dance Society,20000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,West Coast Symphony Society,10000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Western Front Society,40000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vancouver,Western Theatre Conspiracy Arts Society,27000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vanderhoof,Nechako Valley Exhibition,21000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vernon,Kelowna K.O.'S Wheelchair Rugby Association,11600,Community Gaming Grant,Sport,Sports for Disabled Persons
Vernon,Okanagan Military Tattoo Society,20000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vernon,Powerhouse Theatrical Society,22500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vernon,Vernon Concert Band Society,1500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Vernon,Vernon Public Art Gallery Society,47000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Vernon,Vernon Winter Carnival Society,35000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,Art Gallery of Greater Victoria,100000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Bays United Football Club,95880,Community Gaming Grant,Sport,Sports for Youth
Victoria,BC Accordion and Tango Society,20000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,Beacon Hill Baseball and Softball Association,22000,Community Gaming Grant,Sport,Sports for Youth
Victoria,Belfry Theatre Society,90000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Blue Bridge Theatre Society,24800,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Chinook Racing Canoe Club,2000,Community Gaming Grant,Sport,Sports for Youth
Victoria,Cine-Vic Society of Independent Filmmakers,13000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Colquitz Middle School PAC,8880,PAC,DPAC and PAC,PAC
Victoria,Dance Victoria Society,20500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Emily Carr String Quartet Society,4000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Ensemble Laude Choral Society,6700,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Four Seasons Musical Theatre Society,16500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,Friends of the Ashton Armoury Museum,15000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,Greater Victoria Aquatics Society,15700,Community Gaming Grant,Sport,Sports for Youth
Victoria,Greater Victoria Performing Arts Festival Association,20000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,IAS Integrate Art Society,5000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,International Theatre Inconnu Society,36000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Intrepid Theatre Company Society,70000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,Island Strings Players Society,15000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,James Bay Athletic Association,6000,Community Gaming Grant,Sport,Sports for Youth
Victoria,Jewish Community Centre of Victoria,12000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Kaleidoscope Theatre Productions Society,85000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,Lakehill Little League Baseball Association,22260,Community Gaming Grant,Sport,Sports for Youth
Victoria,Langford Minor Fastball Association,16800,Community Gaming Grant,Sport,Sports for Youth
Victoria,Operation Trackshoes Society,29000,Community Gaming Grant,Sport,Sports for Disabled Persons
Victoria,Pacific Opera Victoria Association,90000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Runnymede Enhancement Society,24000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Sir James Douglas Out of School Club,24850,Community Gaming Grant,Human and Social Services,Community Education
Victoria,Story Theatre Productions Society,43500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,The Allegra Singers Society,6000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,The Other Guys Theatre Company Society,43000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Theatre Skam Association,53500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Veselka Ukrainian Dance Association,9000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,Victoria Baroque Music Society,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Victoria City Rowing Club,31625,Community Gaming Grant,Sport,Sports for Youth
Victoria,Victoria Filipino-Canadian Association,7500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Victoria Good News Choir Society,7500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Victoria Independent Film & Video Festival,42000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,Victoria Judo Club,7500,Community Gaming Grant,Sport,Sports for Youth
Victoria,Victoria Operatic Society,55000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Victoria Russian School Society,5000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,Victoria Summer Music Festival Society,7500,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Victoria,Victoria Symphony Society,100000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,Viva Youth Choirs Society of Victoria,10000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Victoria,Vox Humana Chamber Choir Society,5000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Victoria,West Coast Children's Choral Society,18000,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
West Vancouver,Pandoras Vox Vocal Ensemble Society,11500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
West Vancouver,West Vancouver Adult Community Band Association,1350,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Whistler,The Whistler Writing Society,11000,Community Gaming Grant,Arts and Culture,Fairs Festivals Museums
Whistler,Whistler Arts Council,39500,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Whistler,Whistler Blackcomb Freestyle Ski Club,16375,Community Gaming Grant,Sport,Sports for Youth
White Rock,Mann Park Lawn Bowling Club,9500,Community Gaming Grant,Sport,Sports - Adult
White Rock,Peninsula Productions Society,17100,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Williams Lake,Cariboo Chilcotin Gymnastics Association,34000,Community Gaming Grant,Sport,Sports for Youth
Williams Lake,Community Arts Council of Williams Lake,5500,Community Gaming Grant,Arts and Culture,Youth Arts and Culture
Williams Lake,Museum of the Cariboo Chilcotin Society,30000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
Williams Lake,Station House Studio and Gallery Society,23000,Community Gaming Grant,Arts and Culture,Adult Arts and Culture
